,train,val,test
118,IC-EN-00245-01,IC-EN-00825-01,IC-EN-00456-01
119,IC-EN-00246-01,IC-EN-00826-01,IC-EN-00458-01
120,IC-EN-00248-01,IC-EN-00828-01,IC-EN-00461-01
121,IC-EN-00251-01,IC-EN-00834-01,IC-EN-00462-01
122,IC-EN-00252-01,IC-EN-00836-01,IC-EN-00464-01
123,IC-EN-00254-01,IC-EN-00845-01,IC-EN-00467-01
124,IC-EN-00258-01,IC-EN-00846-01,IC-EN-00470-01
125,IC-EN-00259-01,IC-EN-00851-01,IC-EN-00472-01
126,IC-EN-00262-01,IC-EN-00852-01,IC-EN-00484-01
127,IC-EN-00264-01,IC-EN-00857-01,IC-EN-00488-01
128,IC-EN-00267-01,IC-EN-00868-01,IC-EN-00491-01
129,IC-EN-00268-01,IC-EN-00872-01,IC-EN-00497-01
130,IC-EN-00271-01,IC-EN-00875-01,IC-EN-00499-01
131,IC-EN-00275-01,IC-EN-00880-01,IC-EN-00502-01
132,IC-EN-00277-01,IC-EN-00885-01,IC-EN-00506-01
133,IC-EN-00279-01,IC-EN-00893-01,IC-EN-00507-01
134,IC-EN-00281-01,IC-EN-00920-01,IC-EN-00509-01
135,IC-EN-00284-01,IC-EN-00929-01,IC-EN-00511-01
136,IC-EN-00286-01,IC-EN-00932-01,IC-EN-00513-01
137,IC-EN-00287-01,IC-EN-00937-01,IC-EN-00516-01
138,IC-EN-00288-01,IC-EN-00939-01,IC-EN-00518-01
139,IC-EN-00290-01,IC-EN-00944-01,IC-EN-00519-01
140,IC-EN-00291-01,IC-EN-00947-01,IC-EN-00521-01
141,IC-EN-00294-01,IC-EN-00948-01,IC-EN-00523-01
142,IC-EN-00295-01,IC-EN-00950-01,IC-EN-00526-01
143,IC-EN-00299-01,IC-EN-00960-01,IC-EN-00533-01
144,IC-EN-00302-01,IC-EN-00966-01,IC-EN-00538-01
145,IC-EN-00305-01,IC-EN-00976-01,IC-EN-00539-01
146,IC-EN-00308-01,IC-EN-00977-01,IC-EN-00543-01
147,IC-EN-00309-01,IC-EN-00989-01,IC-EN-00548-01
148,IC-EN-00313-01,IC-EN-00994-01,IC-EN-00550-01
149,IC-EN-00314-01,IC-EN-01000-01,IC-EN-00552-01
150,IC-EN-00315-01,IC-EN-01002-01,IC-EN-00555-01
151,IC-EN-00316-01,IC-EN-01006-01,IC-EN-00562-01
152,IC-EN-00317-01,IC-EN-01010-01,IC-EN-00563-01
153,IC-EN-00320-01,IC-EN-01014-01,IC-EN-00569-01
154,IC-EN-00321-01,IC-EN-01015-01,IC-EN-00573-01
155,IC-EN-00322-01,IC-EN-01025-01,IC-EN-00576-01
156,IC-EN-00325-01,IC-EN-01028-01,IC-EN-00577-01
157,IC-EN-00328-01,IC-EN-01036-01,IC-EN-00579-01
158,IC-EN-00331-01,IC-EN-01043-01,IC-EN-00584-01
159,IC-EN-00333-01,IC-EN-01050-01,IC-EN-00585-01
160,IC-EN-00335-01,IC-EN-01058-01,IC-EN-00589-01
161,IC-EN-00336-01,IC-EN-01066-01,IC-EN-00590-01
162,IC-EN-00337-01,IC-EN-01072-01,IC-EN-00591-01
163,IC-EN-00338-01,IC-EN-01080-01,IC-EN-00595-01
164,IC-EN-00340-01,IC-EN-01092-01,IC-EN-00598-01
165,IC-EN-00341-01,IC-EN-01099-01,IC-EN-00604-01
166,IC-EN-00342-01,IC-EN-01120-01,IC-EN-00605-01
167,IC-EN-00343-01,IC-EN-01126-01,IC-EN-00606-01
168,IC-EN-00344-01,IC-EN-01128-01,IC-EN-00609-01
169,IC-EN-00345-01,IC-EN-01132-01,IC-EN-00610-01
170,IC-EN-00346-01,IC-EN-01137-01,IC-EN-00613-01
171,IC-EN-00348-01,IC-EN-01148-01,IC-EN-00614-01
172,IC-EN-00354-01,IC-EN-01149-01,IC-EN-00618-01
173,IC-EN-00355-01,IC-EN-01150-01,IC-EN-00619-01
174,IC-EN-00356-01,IC-EN-01153-01,IC-EN-00621-01
175,IC-EN-00357-01,IC-EN-01157-01,IC-EN-00625-01
176,IC-EN-00359-01,IC-EN-01179-01,IC-EN-00628-01
177,IC-EN-00360-01,IC-EN-01183-01,IC-EN-00630-01
178,IC-EN-00363-01,IC-EN-01189-01,IC-EN-00634-01
179,IC-EN-00370-01,IC-EN-01197-01,IC-EN-00635-01
180,IC-EN-00371-01,IC-EN-01198-01,IC-EN-00636-01
181,IC-EN-00372-01,IC-EN-01207-01,IC-EN-00641-01
182,IC-EN-00373-01,IC-EN-01209-01,IC-EN-00652-01
183,IC-EN-00374-01,IC-EN-01214-01,IC-EN-00659-01
184,IC-EN-00377-01,IC-EN-01216-01,IC-EN-00661-01
185,IC-EN-00380-01,IC-EN-01218-01,IC-EN-00665-01
186,IC-EN-00382-01,IC-EN-01223-01,IC-EN-00666-01
187,IC-EN-00383-01,IC-EN-01238-01,IC-EN-00668-01
188,IC-EN-00385-01,IC-EN-01246-01,IC-EN-00672-01
189,IC-EN-00386-01,IC-EN-01256-01,IC-EN-00678-01
190,IC-EN-00387-01,IC-EN-01259-01,IC-EN-00679-01
191,IC-EN-00388-01,IC-EN-01266-01,IC-EN-00683-01
192,IC-EN-00391-01,IC-EN-01267-01,IC-EN-00686-01
193,IC-EN-00393-01,IC-EN-01271-01,IC-EN-00687-01
194,IC-EN-00395-01,IC-EN-01273-01,IC-EN-00690-01
195,IC-EN-00396-01,IC-EN-01279-01,IC-EN-00698-01
196,IC-EN-00398-01,IC-EN-01280-01,IC-EN-00700-01
197,IC-EN-00401-01,IC-EN-01307-01,IC-EN-00710-01
198,IC-EN-00404-01,IC-EN-01313-01,IC-EN-00712-01
199,IC-EN-00406-01,IC-EN-01314-01,IC-EN-00724-01
200,IC-EN-00409-01,IC-EN-01316-01,IC-EN-00733-01
201,IC-EN-00410-01,IC-EN-01319-01,IC-EN-00734-01
202,IC-EN-00411-01,IC-EN-01328-01,IC-EN-00736-01
203,IC-EN-00413-01,IC-EN-01334-01,IC-EN-00737-01
204,IC-EN-00415-01,IC-EN-01354-01,IC-EN-00739-01
205,IC-EN-00422-01,IC-EN-01356-01,IC-EN-00741-01
206,IC-EN-00424-01,IC-EN-01359-01,IC-EN-00745-01
207,IC-EN-00426-01,IC-EN-01364-01,IC-EN-00747-01
208,IC-EN-00427-01,IC-EN-01369-01,IC-EN-00749-01
209,IC-EN-00428-01,IC-EN-01377-01,IC-EN-00755-01
210,IC-EN-00433-01,IC-EN-01380-01,IC-EN-00756-01
211,IC-EN-00434-01,IC-EN-01384-01,IC-EN-00757-01
212,IC-EN-00435-01,IC-EN-01386-01,IC-EN-00764-01
213,IC-EN-00436-01,IC-EN-01392-01,IC-EN-00765-01
214,IC-EN-00438-01,IC-EN-01394-01,IC-EN-00769-01
215,IC-EN-00439-01,IC-EN-01397-01,IC-EN-00772-01
216,IC-EN-00442-01,IC-EN-01411-01,IC-EN-00773-01
217,IC-EN-00445-01,IC-EN-01416-01,IC-EN-00775-01
218,IC-EN-00447-01,IC-EN-01425-01,IC-EN-00789-01
219,IC-EN-00448-01,IC-EN-01436-01,IC-EN-00793-01
220,IC-EN-00449-01,IC-EN-01446-01,IC-EN-00794-01
221,IC-EN-00451-01,IC-EN-01451-01,IC-EN-00796-01
222,IC-EN-00452-01,IC-EN-01453-01,IC-EN-00798-01
223,IC-EN-00459-01,IC-EN-01460-01,IC-EN-00803-01
224,IC-EN-00460-01,IC-EN-01464-01,IC-EN-00811-01
225,IC-EN-00463-01,IC-EN-01466-01,IC-EN-00813-01
226,IC-EN-00465-01,IC-EN-01469-01,IC-EN-00817-01
227,IC-EN-00469-01,IC-EN-01470-01,IC-EN-00819-01
228,IC-EN-00473-01,IC-EN-01472-01,IC-EN-00823-01
229,IC-EN-00475-01,IC-EN-01474-01,IC-EN-00827-01
230,IC-EN-00477-01,IC-EN-01490-01,IC-EN-00830-01
231,IC-EN-00478-01,IC-EN-01496-01,IC-EN-00833-01
232,IC-EN-00480-01,IC-EN-01500-01,IC-EN-00835-01
233,IC-EN-00481-01,IC-EN-01501-01,IC-EN-00840-01
234,IC-EN-00482-01,IC-EN-01502-01,IC-EN-00842-01
235,IC-EN-00483-01,IC-EN-01504-01,IC-EN-00843-01
236,IC-EN-00485-01,IC-EN-01507-01,IC-EN-00854-01
237,IC-EN-00486-01,IC-EN-01512-01,IC-EN-00860-01
238,IC-EN-00487-01,IC-EN-01524-01,IC-EN-00863-01
239,IC-EN-00492-01,IC-EN-01527-01,IC-EN-00864-01
240,IC-EN-00494-01,IC-EN-01532-01,IC-EN-00865-01
241,IC-EN-00495-01,IC-EN-01533-01,IC-EN-00867-01
242,IC-EN-00496-01,IC-EN-01542-01,IC-EN-00870-01
243,IC-EN-00498-01,IC-EN-01547-01,IC-EN-00871-01
244,IC-EN-00500-01,IC-EN-01548-01,IC-EN-00873-01
245,IC-EN-00501-01,IC-EN-01549-01,IC-EN-00874-01
246,IC-EN-00503-01,IC-EN-01552-01,IC-EN-00879-01
247,IC-EN-00504-01,IC-EN-01554-01,IC-EN-00883-01
248,IC-EN-00505-01,IC-EN-01560-01,IC-EN-00886-01
249,IC-EN-00508-01,IC-EN-01563-01,IC-EN-00890-01
250,IC-EN-00510-01,IC-EN-01566-01,IC-EN-00896-01
251,IC-EN-00512-01,IC-EN-01567-01,IC-EN-00899-01
252,IC-EN-00514-01,IC-EN-01570-01,IC-EN-00904-01
253,IC-EN-00515-01,IC-EN-01582-01,IC-EN-00906-01
254,IC-EN-00520-01,IC-EN-01586-01,IC-EN-00910-01
255,IC-EN-00522-01,IC-EN-01598-01,IC-EN-00914-01
256,IC-EN-00524-01,IC-EN-01599-01,IC-EN-00915-01
257,IC-EN-00527-01,IC-EN-01606-01,IC-EN-00916-01
258,IC-EN-00528-01,IC-EN-01610-01,IC-EN-00919-01
259,IC-EN-00529-01,IC-EN-01611-01,IC-EN-00921-01
260,IC-EN-00530-01,IC-EN-01626-01,IC-EN-00922-01
261,IC-EN-00532-01,IC-EN-01631-01,IC-EN-00924-01
262,IC-EN-00534-01,IC-EN-01647-01,IC-EN-00925-01
263,IC-EN-00536-01,IC-EN-01651-01,IC-EN-00927-01
264,IC-EN-00540-01,IC-EN-01652-01,IC-EN-00930-01
265,IC-EN-00542-01,IC-EN-01654-01,IC-EN-00931-01
266,IC-EN-00544-01,IC-EN-01672-01,IC-EN-00938-01
267,IC-EN-00545-01,IC-EN-01678-01,IC-EN-00942-01
268,IC-EN-00546-01,IC-EN-01684-01,IC-EN-00949-01
269,IC-EN-00549-01,IC-EN-01686-01,IC-EN-00955-01
270,IC-EN-00551-01,IC-EN-01688-01,IC-EN-00957-01
271,IC-EN-00553-01,IC-EN-01696-01,IC-EN-00958-01
272,IC-EN-00556-01,IC-EN-01707-01,IC-EN-00961-01
273,IC-EN-00557-01,IC-EN-01722-01,IC-EN-00967-01
274,IC-EN-00560-01,IC-EN-01728-01,IC-EN-00970-01
275,IC-EN-00564-01,IC-EN-01731-01,IC-EN-00973-01
276,IC-EN-00567-01,IC-EN-01734-01,IC-EN-00974-01
277,IC-EN-00568-01,IC-EN-01741-01,IC-EN-00975-01
278,IC-EN-00571-01,IC-EN-01749-01,IC-EN-00978-01
279,IC-EN-00572-01,IC-EN-01756-01,IC-EN-00979-01
280,IC-EN-00574-01,IC-EN-01762-01,IC-EN-00983-01
281,IC-EN-00578-01,IC-EN-01765-01,IC-EN-00987-01
282,IC-EN-00582-01,IC-EN-01770-01,IC-EN-00988-01
283,IC-EN-00583-01,IC-EN-01771-01,IC-EN-00990-01
284,IC-EN-00587-01,IC-EN-01778-01,IC-EN-01001-01
285,IC-EN-00588-01,IC-EN-01784-01,IC-EN-01003-01
286,IC-EN-00592-01,IC-EN-01793-01,IC-EN-01004-01
287,IC-EN-00594-01,IC-EN-01795-01,IC-EN-01005-01
288,IC-EN-00597-01,IC-EN-01803-01,IC-EN-01007-01
289,IC-EN-00599-01,IC-EN-01805-01,IC-EN-01009-01
290,IC-EN-00601-01,IC-EN-01838-01,IC-EN-01011-01
291,IC-EN-00602-01,IC-EN-01839-01,IC-EN-01013-01
292,IC-EN-00603-01,IC-EN-01841-01,IC-EN-01021-01
293,IC-EN-00611-01,IC-EN-01843-01,IC-EN-01023-01
294,IC-EN-00612-01,IC-EN-01858-01,IC-EN-01027-01
295,IC-EN-00622-01,IC-EN-01860-01,IC-EN-01032-01
296,IC-EN-00623-01,IC-EN-01865-01,IC-EN-01033-01
297,IC-EN-00624-01,IC-EN-01869-01,IC-EN-01039-01
298,IC-EN-00626-01,IC-EN-01882-01,IC-EN-01045-01
299,IC-EN-00627-01,IC-EN-01883-01,IC-EN-01048-01
300,IC-EN-00629-01,IC-EN-01894-01,IC-EN-01059-01
301,IC-EN-00631-01,IC-EN-01896-01,IC-EN-01060-01
302,IC-EN-00633-01,IC-EN-01897-01,IC-EN-01067-01
303,IC-EN-00637-01,IC-EN-01905-01,IC-EN-01074-01
304,IC-EN-00640-01,IC-EN-01906-01,IC-EN-01076-01
305,IC-EN-00642-01,IC-EN-01909-01,IC-EN-01081-01
306,IC-EN-00644-01,IC-EN-01914-01,IC-EN-01082-01
307,IC-EN-00645-01,IC-EN-01920-01,IC-EN-01086-01
308,IC-EN-00646-01,IC-EN-01921-01,IC-EN-01088-01
309,IC-EN-00647-01,IC-EN-01930-01,IC-EN-01090-01
310,IC-EN-00648-01,IC-EN-01934-01,IC-EN-01091-01
311,IC-EN-00649-01,IC-EN-01953-01,IC-EN-01095-01
312,IC-EN-00650-01,IC-EN-01954-01,IC-EN-01103-01
313,IC-EN-00651-01,IC-EN-01956-01,IC-EN-01113-01
314,IC-EN-00653-01,IC-EN-01959-01,IC-EN-01114-01
315,IC-EN-00655-01,IC-EN-01962-01,IC-EN-01117-01
316,IC-EN-00656-01,IC-EN-01966-01,IC-EN-01129-01
317,IC-EN-00657-01,IC-EN-01975-01,IC-EN-01131-01
318,IC-EN-00660-01,IC-EN-01987-01,IC-EN-01135-01
319,IC-EN-00663-01,IC-EN-01991-01,IC-EN-01139-01
320,IC-EN-00669-01,IC-EN-01995-01,IC-EN-01142-01
321,IC-EN-00670-01,IC-EN-01996-01,IC-EN-01146-01
322,IC-EN-00671-01,IC-EN-01999-01,IC-EN-01147-01
323,IC-EN-00673-01,IC-EN-02006-01,IC-EN-01152-01
324,IC-EN-00674-01,IC-EN-02014-01,IC-EN-01154-01
325,IC-EN-00676-01,IC-EN-02015-01,IC-EN-01158-01
326,IC-EN-00681-01,IC-EN-02016-01,IC-EN-01160-01
327,IC-EN-00682-01,IC-EN-02019-01,IC-EN-01161-01
328,IC-EN-00689-01,IC-EN-02029-01,IC-EN-01163-01
329,IC-EN-00692-01,IC-EN-02032-01,IC-EN-01166-01
330,IC-EN-00693-01,IC-EN-02036-01,IC-EN-01169-01
331,IC-EN-00695-01,IC-EN-02043-01,IC-EN-01176-01
332,IC-EN-00696-01,IC-EN-02048-01,IC-EN-01177-01
333,IC-EN-00697-01,IC-EN-02060-01,IC-EN-01178-01
334,IC-EN-00702-01,IC-EN-02071-01,IC-EN-01184-01
335,IC-EN-00703-01,IC-EN-02073-01,IC-EN-01185-01
336,IC-EN-00704-01,IC-EN-02074-01,IC-EN-01186-01
337,IC-EN-00705-01,IC-EN-02099-01,IC-EN-01192-01
338,IC-EN-00706-01,IC-EN-02102-01,IC-EN-01195-01
339,IC-EN-00707-01,IC-EN-02107-01,IC-EN-01196-01
340,IC-EN-00708-01,IC-EN-02111-01,IC-EN-01199-01
341,IC-EN-00711-01,IC-EN-02114-01,IC-EN-01200-01
342,IC-EN-00713-01,IC-EN-02124-01,IC-EN-01202-01
343,IC-EN-00714-01,IC-EN-02132-01,IC-EN-01203-01
344,IC-EN-00715-01,IC-EN-02134-01,IC-EN-01208-01
345,IC-EN-00716-01,IC-EN-02146-01,IC-EN-01211-01
346,IC-EN-00717-01,IC-EN-02152-01,IC-EN-01224-01
347,IC-EN-00721-01,IC-EN-02159-01,IC-EN-01225-01
348,IC-EN-00723-01,IC-EN-02160-01,IC-EN-01227-01
349,IC-EN-00725-01,IC-EN-02167-01,IC-EN-01228-01
350,IC-EN-00727-01,IC-EN-02168-01,IC-EN-01229-01
351,IC-EN-00728-01,IC-EN-02182-01,IC-EN-01232-01
352,IC-EN-00729-01,IC-EN-02194-01,IC-EN-01235-01
353,IC-EN-00731-01,IC-EN-02204-01,IC-EN-01242-01
354,IC-EN-00738-01,IC-EN-02222-01,IC-EN-01243-01
355,IC-EN-00742-01,IC-EN-02228-01,IC-EN-01245-01
356,IC-EN-00743-01,IC-EN-02234-01,IC-EN-01247-01
357,IC-EN-00744-01,IC-EN-02240-01,IC-EN-01249-01
358,IC-EN-00746-01,IC-EN-02242-01,IC-EN-01250-01
359,IC-EN-00748-01,IC-EN-02254-01,IC-EN-01253-01
360,IC-EN-00751-01,IC-EN-02297-01,IC-EN-01269-01
361,IC-EN-00752-01,IC-EN-02298-01,IC-EN-01274-01
362,IC-EN-00753-01,IC-EN-02304-01,IC-EN-01275-01
363,IC-EN-00754-01,IC-EN-02312-01,IC-EN-01277-01
364,IC-EN-00758-01,IC-EN-02313-01,IC-EN-01287-01
365,IC-EN-00759-01,IC-EN-02318-01,IC-EN-01289-01
366,IC-EN-00760-01,IC-EN-02321-01,IC-EN-01291-01
367,IC-EN-00762-01,IC-EN-02325-01,IC-EN-01296-01
368,IC-EN-00770-01,IC-EN-02326-01,IC-EN-01299-01
369,IC-EN-00774-01,IC-EN-02327-01,IC-EN-01300-01
370,IC-EN-00777-01,IC-EN-02337-01,IC-EN-01304-01
371,IC-EN-00778-01,IC-EN-02350-01,IC-EN-01305-01
372,IC-EN-00779-01,IC-EN-02365-01,IC-EN-01308-01
373,IC-EN-00780-01,IC-EN-02368-01,IC-EN-01317-01
374,IC-EN-00781-01,IC-EN-02384-01,IC-EN-01318-01
375,IC-EN-00782-01,IC-EN-02388-01,IC-EN-01320-01
376,IC-EN-00783-01,IC-EN-02406-01,IC-EN-01321-01
377,IC-EN-00784-01,IC-EN-02407-01,IC-EN-01325-01
378,IC-EN-00786-01,IC-EN-02408-01,IC-EN-01326-01
379,IC-EN-00787-01,IC-EN-02411-01,IC-EN-01331-01
380,IC-EN-00790-01,IC-EN-02416-01,IC-EN-01333-01
381,IC-EN-00791-01,IC-EN-02430-01,IC-EN-01337-01
382,IC-EN-00792-01,IC-EN-02437-01,IC-EN-01338-01
383,IC-EN-00797-01,IC-EN-02441-01,IC-EN-01344-01
384,IC-EN-00799-01,IC-EN-02446-01,IC-EN-01351-01
385,IC-EN-00800-01,IC-EN-02454-01,IC-EN-01355-01
386,IC-EN-00801-01,IC-EN-02455-01,IC-EN-01363-01
387,IC-EN-00802-01,IC-EN-02460-01,IC-EN-01370-01
388,IC-EN-00805-01,IC-EN-02464-01,IC-EN-01371-01
389,IC-EN-00806-01,IC-EN-02467-01,IC-EN-01373-01
390,IC-EN-00808-01,IC-EN-02469-01,IC-EN-01379-01
391,IC-EN-00810-01,IC-EN-02473-01,IC-EN-01389-01
392,IC-EN-00815-01,IC-EN-02476-01,IC-EN-01390-01
393,IC-EN-00818-01,IC-EN-02480-01,IC-EN-01395-01
394,IC-EN-00820-01,IC-EN-02487-01,IC-EN-01396-01
395,IC-EN-00822-01,IC-EN-02529-01,IC-EN-01398-01
396,IC-EN-00829-01,IC-EN-02538-01,IC-EN-01400-01
397,IC-EN-00831-01,IC-EN-02542-01,IC-EN-01401-01
398,IC-EN-00832-01,IC-EN-02552-01,IC-EN-01405-01
