,train,val,test
72,IC-EN-00328-01,IC-EN-00360-01,IC-EN-00124-01
73,IC-EN-00329-01,IC-EN-00371-01,IC-EN-00145-01
74,IC-EN-00331-01,IC-EN-00374-01,IC-EN-00175-01
75,IC-EN-00332-01,IC-EN-00381-01,IC-EN-00252-01
76,IC-EN-00333-01,IC-EN-00386-01,IC-EN-00254-01
77,IC-EN-00336-01,IC-EN-00387-01,IC-EN-00258-01
78,IC-EN-00337-01,IC-EN-00400-01,IC-EN-01886-01
79,IC-EN-00338-01,IC-EN-00410-01,IC-EN-01897-01
80,IC-EN-00339-01,IC-EN-00416-01,IC-EN-01933-01
81,IC-EN-00340-01,IC-EN-00422-01,IC-EN-01949-01
82,IC-EN-00341-01,IC-EN-01549-01,
83,IC-EN-00342-01,IC-EN-01552-01,
84,IC-EN-00343-01,IC-EN-01572-01,
85,IC-EN-02366-01,IC-EN-01583-01,
86,IC-EN-02369-01,IC-EN-01590-01,
87,IC-EN-02370-01,IC-EN-01591-01,
88,IC-EN-02371-01,IC-EN-01592-01,
89,IC-EN-02374-01,IC-EN-01605-01,
90,IC-EN-02379-01,IC-EN-00042-01,
91,IC-EN-02381-01,IC-EN-00054-01,
92,IC-EN-02383-01,IC-EN-00063-01,
93,IC-EN-02384-01,IC-EN-00065-01,
94,IC-EN-02385-01,IC-EN-00083-01,
95,IC-EN-02387-01,IC-EN-00093-01,
96,IC-EN-02389-01,IC-EN-00096-01,
97,IC-EN-02393-01,IC-EN-00100-01,
98,IC-EN-02398-01,IC-EN-00101-01,
99,IC-EN-02399-01,IC-EN-00104-01,
100,IC-EN-02400-01,IC-EN-01246-01,
101,IC-EN-02403-01,IC-EN-01256-01,
102,IC-EN-02406-01,IC-EN-01283-01,
103,IC-EN-02407-01,IC-EN-01285-01,
104,IC-EN-02409-01,IC-EN-01288-01,
105,IC-EN-02411-01,IC-EN-01292-01,
106,IC-EN-02415-01,IC-EN-01313-01,
107,IC-EN-02416-01,IC-EN-01327-01,
108,IC-EN-02419-01,IC-EN-02032-01,
109,IC-EN-02420-01,IC-EN-02034-01,
110,IC-EN-02422-01,IC-EN-02067-01,
111,IC-EN-02424-01,IC-EN-02070-01,
112,IC-EN-02428-01,IC-EN-02075-01,
113,IC-EN-02429-01,IC-EN-02079-01,
114,IC-EN-02430-01,IC-EN-02081-01,
115,IC-EN-02431-01,IC-EN-02085-01,
116,IC-EN-02434-01,IC-EN-02107-01,
117,IC-EN-02436-01,IC-EN-02113-01,
118,IC-EN-02437-01,IC-EN-00992-01,
119,IC-EN-02439-01,IC-EN-00993-01,
120,IC-EN-02440-01,IC-EN-01008-01,
121,IC-EN-02441-01,IC-EN-01015-01,
122,IC-EN-02443-01,IC-EN-01024-01,
123,IC-EN-02444-01,IC-EN-01044-01,
124,IC-EN-01068-01,IC-EN-01053-01,
125,IC-EN-01069-01,IC-EN-01056-01,
126,IC-EN-01070-01,IC-EN-00828-01,
127,IC-EN-01072-01,IC-EN-00832-01,
128,IC-EN-01073-01,IC-EN-00834-01,
129,IC-EN-01075-01,IC-EN-00847-01,
130,IC-EN-01078-01,IC-EN-00850-01,
131,IC-EN-01079-01,IC-EN-00876-01,
132,IC-EN-01080-01,IC-EN-00880-01,
133,IC-EN-01083-01,IC-EN-00891-01,
134,IC-EN-01084-01,IC-EN-00898-01,
135,IC-EN-01085-01,IC-EN-01416-01,
136,IC-EN-01092-01,IC-EN-01418-01,
137,IC-EN-01093-01,IC-EN-01430-01,
138,IC-EN-01097-01,IC-EN-01436-01,
139,IC-EN-01099-01,IC-EN-01439-01,
140,IC-EN-01101-01,IC-EN-01458-01,
141,IC-EN-01107-01,IC-EN-01466-01,
142,IC-EN-01109-01,IC-EN-01471-01,
143,IC-EN-01115-01,IC-EN-02458-01,
144,IC-EN-01116-01,IC-EN-02464-01,
145,IC-EN-01118-01,IC-EN-02476-01,
146,IC-EN-01120-01,IC-EN-02487-01,
147,IC-EN-01123-01,IC-EN-02488-01,
148,IC-EN-01126-01,IC-EN-02500-01,
149,IC-EN-01128-01,IC-EN-02504-01,
150,IC-EN-01130-01,IC-EN-02512-01,
151,IC-EN-01132-01,IC-EN-02517-01,
152,IC-EN-01136-01,IC-EN-02525-01,
153,IC-EN-01141-01,IC-EN-02526-01,
154,IC-EN-01143-01,IC-EN-02318-01,
155,IC-EN-01144-01,IC-EN-02325-01,
156,IC-EN-01145-01,IC-EN-02326-01,
157,IC-EN-01148-01,IC-EN-02332-01,
158,IC-EN-01149-01,IC-EN-02336-01,
159,IC-EN-01328-01,IC-EN-02352-01,
160,IC-EN-01330-01,IC-EN-02361-01,
161,IC-EN-01332-01,IC-EN-02362-01,
162,IC-EN-01334-01,IC-EN-02599-01,
163,IC-EN-01335-01,IC-EN-02614-01,
164,IC-EN-01339-01,IC-EN-02616-01,
165,IC-EN-01340-01,IC-EN-02618-01,
166,IC-EN-01341-01,IC-EN-02626-01,
167,IC-EN-01342-01,IC-EN-02629-01,
168,IC-EN-01346-01,IC-EN-02637-01,
169,IC-EN-01347-01,IC-EN-02650-01,
170,IC-EN-01348-01,IC-EN-02666-01,
171,IC-EN-01349-01,IC-EN-02671-01,
172,IC-EN-01350-01,IC-EN-02680-01,
173,IC-EN-01353-01,IC-EN-01480-01,
174,IC-EN-01354-01,IC-EN-01483-01,
175,IC-EN-01356-01,IC-EN-01485-01,
176,IC-EN-01357-01,IC-EN-01487-01,
177,IC-EN-01359-01,IC-EN-01488-01,
178,IC-EN-01361-01,IC-EN-01496-01,
179,IC-EN-01362-01,IC-EN-01499-01,
180,IC-EN-01364-01,IC-EN-01501-01,
181,IC-EN-01365-01,IC-EN-01502-01,
182,IC-EN-01366-01,IC-EN-01504-01,
183,IC-EN-01368-01,IC-EN-01507-01,
184,IC-EN-01369-01,IC-EN-01517-01,
185,IC-EN-01375-01,IC-EN-01523-01,
186,IC-EN-01376-01,IC-EN-01525-01,
187,IC-EN-01377-01,IC-EN-01531-01,
188,IC-EN-01378-01,IC-EN-01718-01,
189,IC-EN-01380-01,IC-EN-01727-01,
190,IC-EN-01381-01,IC-EN-01732-01,
191,IC-EN-01385-01,IC-EN-01744-01,
192,IC-EN-01387-01,IC-EN-01765-01,
193,IC-EN-01388-01,IC-EN-01772-01,
194,IC-EN-01391-01,IC-EN-01779-01,
195,IC-EN-01392-01,IC-EN-01787-01,
196,IC-EN-01397-01,IC-EN-01789-01,
197,IC-EN-00592-01,IC-EN-01796-01,
198,IC-EN-00594-01,IC-EN-00501-01,
199,IC-EN-00599-01,IC-EN-00528-01,
200,IC-EN-00600-01,IC-EN-00530-01,
201,IC-EN-00602-01,IC-EN-00553-01,
202,IC-EN-00608-01,IC-EN-00567-01,
203,IC-EN-00612-01,IC-EN-00568-01,
204,IC-EN-00616-01,IC-EN-00571-01,
205,IC-EN-00622-01,IC-EN-00572-01,
206,IC-EN-00623-01,IC-EN-00582-01,
207,IC-EN-00624-01,IC-EN-00588-01,
208,IC-EN-00627-01,IC-EN-00905-01,
209,IC-EN-00629-01,IC-EN-00928-01,
210,IC-EN-00631-01,IC-EN-00929-01,
211,IC-EN-00633-01,IC-EN-00936-01,
212,IC-EN-00637-01,IC-EN-00937-01,
213,IC-EN-00640-01,IC-EN-00939-01,
214,IC-EN-00642-01,IC-EN-00962-01,
215,IC-EN-00643-01,IC-EN-00966-01,
216,IC-EN-00644-01,IC-EN-00971-01,
217,IC-EN-00645-01,IC-EN-00984-01,
218,IC-EN-00646-01,IC-EN-00989-01,
219,IC-EN-00650-01,IC-EN-00681-01,
220,IC-EN-00651-01,IC-EN-00695-01,
221,IC-EN-00655-01,IC-EN-00697-01,
222,IC-EN-00657-01,IC-EN-00711-01,
223,IC-EN-00660-01,IC-EN-00713-01,
224,IC-EN-00663-01,IC-EN-00719-01,
225,IC-EN-00664-01,IC-EN-00723-01,
226,IC-EN-00669-01,IC-EN-00725-01,
227,IC-EN-00670-01,IC-EN-00728-01,
228,IC-EN-00671-01,IC-EN-00732-01,
229,IC-EN-00673-01,IC-EN-00742-01,
230,IC-EN-02682-01,IC-EN-00744-01,
231,IC-EN-02685-01,IC-EN-00746-01,
232,IC-EN-02686-01,IC-EN-00748-01,
233,IC-EN-02688-01,IC-EN-01647-01,
234,IC-EN-02690-01,IC-EN-01656-01,
235,IC-EN-02693-01,IC-EN-01658-01,
236,IC-EN-02694-01,IC-EN-01663-01,
237,IC-EN-02695-01,IC-EN-01666-01,
238,IC-EN-02697-01,IC-EN-01670-01,
239,IC-EN-02699-01,IC-EN-01681-01,
240,IC-EN-02701-01,IC-EN-01689-01,
241,IC-EN-02704-01,IC-EN-01691-01,
242,IC-EN-02705-01,IC-EN-01711-01,
243,IC-EN-02706-01,IC-EN-01717-01,
244,IC-EN-02707-01,IC-EN-02764-01,
245,IC-EN-02709-01,IC-EN-02765-01,
246,IC-EN-02711-01,IC-EN-02767-01,
247,IC-EN-02714-01,IC-EN-02768-01,
248,IC-EN-02718-01,IC-EN-02782-01,
249,IC-EN-02719-01,IC-EN-02788-01,
250,IC-EN-02722-01,IC-EN-02801-01,
251,IC-EN-02723-01,IC-EN-02809-01,
252,IC-EN-02726-01,IC-EN-02813-01,
253,IC-EN-02727-01,IC-EN-02828-01,
254,IC-EN-02729-01,IC-EN-00007-01,
255,IC-EN-02730-01,IC-EN-00018-01,
256,IC-EN-02734-01,IC-EN-00022-01,
257,IC-EN-02735-01,IC-EN-00023-01,
258,IC-EN-02738-01,IC-EN-00024-01,
259,IC-EN-02739-01,IC-EN-00032-01,
260,IC-EN-02740-01,IC-EN-02123-01,
261,IC-EN-02744-01,IC-EN-02124-01,
262,IC-EN-02745-01,IC-EN-02125-01,
263,IC-EN-02746-01,IC-EN-02128-01,
264,IC-EN-02751-01,IC-EN-02130-01,
265,IC-EN-02752-01,IC-EN-02151-01,
266,IC-EN-02755-01,IC-EN-02152-01,
267,IC-EN-02757-01,IC-EN-02163-01,
268,IC-EN-02759-01,IC-EN-02175-01,
269,IC-EN-02761-01,IC-EN-02178-01,
270,IC-EN-00750-01,IC-EN-02182-01,
271,IC-EN-00751-01,IC-EN-01802-01,
272,IC-EN-00752-01,IC-EN-01812-01,
273,IC-EN-00753-01,IC-EN-01817-01,
274,IC-EN-00754-01,IC-EN-01822-01,
275,IC-EN-00758-01,IC-EN-01828-01,
276,IC-EN-00759-01,IC-EN-01841-01,
277,IC-EN-00760-01,IC-EN-01843-01,
278,IC-EN-00763-01,IC-EN-01846-01,
279,IC-EN-00768-01,IC-EN-01847-01,
280,IC-EN-00770-01,IC-EN-01851-01,
281,IC-EN-00774-01,IC-EN-01862-01,
282,IC-EN-00777-01,IC-EN-01863-01,
283,IC-EN-00778-01,IC-EN-01865-01,
284,IC-EN-00779-01,IC-EN-01867-01,
285,IC-EN-00780-01,IC-EN-01869-01,
286,IC-EN-00781-01,IC-EN-01870-01,
287,IC-EN-00784-01,IC-EN-02200-01,
288,IC-EN-00786-01,IC-EN-02204-01,
289,IC-EN-00787-01,IC-EN-02208-01,
290,IC-EN-00788-01,IC-EN-02213-01,
291,IC-EN-00790-01,IC-EN-02232-01,
292,IC-EN-00795-01,IC-EN-02233-01,
293,IC-EN-00797-01,IC-EN-02239-01,
294,IC-EN-00799-01,IC-EN-02260-01,
295,IC-EN-00800-01,IC-EN-02261-01,
296,IC-EN-00804-01,IC-EN-00436-01,
297,IC-EN-00805-01,IC-EN-00463-01,
298,IC-EN-00806-01,IC-EN-00468-01,
299,IC-EN-00807-01,IC-EN-00469-01,
300,IC-EN-00808-01,IC-EN-00493-01,
301,IC-EN-00809-01,IC-EN-00140-01,
302,IC-EN-00810-01,IC-EN-00146-01,
303,IC-EN-00812-01,IC-EN-00148-01,
304,IC-EN-00814-01,IC-EN-00149-01,
305,IC-EN-00815-01,IC-EN-00154-01,
306,IC-EN-00818-01,IC-EN-00179-01,
307,IC-EN-00821-01,IC-EN-00187-01,
308,IC-EN-00822-01,IC-EN-00192-01,
309,IC-EN-00825-01,IC-EN-00198-01,
310,IC-EN-00826-01,IC-EN-00217-01,
311,IC-EN-00344-01,IC-EN-00221-01,
312,IC-EN-00345-01,IC-EN-00237-01,
313,IC-EN-00348-01,IC-EN-00242-01,
314,IC-EN-00349-01,IC-EN-00251-01,
315,IC-EN-00354-01,IC-EN-00262-01,
316,IC-EN-00355-01,IC-EN-00267-01,
317,IC-EN-00356-01,IC-EN-00268-01,
318,IC-EN-00357-01,IC-EN-01881-01,
319,IC-EN-00359-01,IC-EN-01882-01,
320,IC-EN-00363-01,IC-EN-01883-01,
321,IC-EN-00364-01,IC-EN-01884-01,
322,IC-EN-00366-01,IC-EN-01888-01,
323,IC-EN-00368-01,IC-EN-01892-01,
324,IC-EN-00370-01,IC-EN-01914-01,
325,IC-EN-00372-01,IC-EN-01916-01,
326,IC-EN-00373-01,IC-EN-01939-01,
327,IC-EN-00377-01,IC-EN-01947-01,
328,IC-EN-00380-01,,
329,IC-EN-00382-01,,
330,IC-EN-00383-01,,
331,IC-EN-00385-01,,
332,IC-EN-00388-01,,
333,IC-EN-00391-01,,
334,IC-EN-00393-01,,
335,IC-EN-00398-01,,
336,IC-EN-00401-01,,
337,IC-EN-00403-01,,
338,IC-EN-00404-01,,
339,IC-EN-00406-01,,
340,IC-EN-00411-01,,
341,IC-EN-00413-01,,
342,IC-EN-00415-01,,
343,IC-EN-00418-01,,
344,IC-EN-00424-01,,
345,IC-EN-00425-01,,
346,IC-EN-01548-01,,
347,IC-EN-01550-01,,
348,IC-EN-01555-01,,
349,IC-EN-01556-01,,
350,IC-EN-01557-01,,
351,IC-EN-01558-01,,
352,IC-EN-01560-01,,
353,IC-EN-01561-01,,
354,IC-EN-01563-01,,
355,IC-EN-01564-01,,
356,IC-EN-01566-01,,
357,IC-EN-01570-01,,
358,IC-EN-01576-01,,
359,IC-EN-01582-01,,
360,IC-EN-01584-01,,
361,IC-EN-01585-01,,
362,IC-EN-01586-01,,
363,IC-EN-01594-01,,
364,IC-EN-01596-01,,
365,IC-EN-01598-01,,
366,IC-EN-01599-01,,
367,IC-EN-01607-01,,
368,IC-EN-01610-01,,
369,IC-EN-01611-01,,
370,IC-EN-01612-01,,
371,IC-EN-01613-01,,
372,IC-EN-01614-01,,
373,IC-EN-01621-01,,
374,IC-EN-01622-01,,
375,IC-EN-01623-01,,
376,IC-EN-01626-01,,
377,IC-EN-01631-01,,
378,IC-EN-01633-01,,
379,IC-EN-01635-01,,
380,IC-EN-01636-01,,
381,IC-EN-01638-01,,
382,IC-EN-00036-01,,
383,IC-EN-00038-01,,
384,IC-EN-00039-01,,
385,IC-EN-00040-01,,
386,IC-EN-00041-01,,
387,IC-EN-00043-01,,
388,IC-EN-00045-01,,
389,IC-EN-00046-01,,
390,IC-EN-00048-01,,
391,IC-EN-00049-01,,
392,IC-EN-00050-01,,
393,IC-EN-00051-01,,
394,IC-EN-00058-01,,
395,IC-EN-00062-01,,
396,IC-EN-00069-01,,
397,IC-EN-00070-01,,
398,IC-EN-00071-01,,
399,IC-EN-00072-01,,
400,IC-EN-00073-01,,
401,IC-EN-00074-01,,
402,IC-EN-00076-01,,
403,IC-EN-00079-01,,
404,IC-EN-00080-01,,
405,IC-EN-00081-01,,
406,IC-EN-00082-01,,
407,IC-EN-00084-01,,
408,IC-EN-00085-01,,
409,IC-EN-00088-01,,
410,IC-EN-00089-01,,
411,IC-EN-00090-01,,
412,IC-EN-00095-01,,
413,IC-EN-00099-01,,
414,IC-EN-00103-01,,
415,IC-EN-00105-01,,
416,IC-EN-00106-01,,
417,IC-EN-00107-01,,
418,IC-EN-00109-01,,
419,IC-EN-00110-01,,
420,IC-EN-01244-01,,
421,IC-EN-01248-01,,
422,IC-EN-01251-01,,
423,IC-EN-01252-01,,
424,IC-EN-01254-01,,
425,IC-EN-01255-01,,
426,IC-EN-01257-01,,
427,IC-EN-01258-01,,
428,IC-EN-01259-01,,
429,IC-EN-01260-01,,
430,IC-EN-01261-01,,
431,IC-EN-01262-01,,
432,IC-EN-01263-01,,
433,IC-EN-01264-01,,
434,IC-EN-01266-01,,
435,IC-EN-01267-01,,
436,IC-EN-01268-01,,
437,IC-EN-01271-01,,
438,IC-EN-01273-01,,
439,IC-EN-01276-01,,
440,IC-EN-01279-01,,
441,IC-EN-01280-01,,
442,IC-EN-01281-01,,
443,IC-EN-01282-01,,
444,IC-EN-01290-01,,
445,IC-EN-01293-01,,
446,IC-EN-01297-01,,
447,IC-EN-01298-01,,
448,IC-EN-01301-01,,
449,IC-EN-01302-01,,
450,IC-EN-01303-01,,
451,IC-EN-01307-01,,
452,IC-EN-01309-01,,
453,IC-EN-01311-01,,
454,IC-EN-01314-01,,
455,IC-EN-01315-01,,
456,IC-EN-01316-01,,
457,IC-EN-01319-01,,
458,IC-EN-01322-01,,
459,IC-EN-01324-01,,
460,IC-EN-02031-01,,
461,IC-EN-02036-01,,
462,IC-EN-02038-01,,
463,IC-EN-02040-01,,
464,IC-EN-02042-01,,
465,IC-EN-02043-01,,
466,IC-EN-02047-01,,
467,IC-EN-02051-01,,
468,IC-EN-02053-01,,
469,IC-EN-02055-01,,
470,IC-EN-02058-01,,
471,IC-EN-02061-01,,
472,IC-EN-02063-01,,
473,IC-EN-02065-01,,
474,IC-EN-02069-01,,
475,IC-EN-02071-01,,
476,IC-EN-02073-01,,
477,IC-EN-02074-01,,
478,IC-EN-02078-01,,
479,IC-EN-02080-01,,
480,IC-EN-02082-01,,
481,IC-EN-02086-01,,
482,IC-EN-02089-01,,
483,IC-EN-02090-01,,
484,IC-EN-02091-01,,
485,IC-EN-02092-01,,
486,IC-EN-02096-01,,
487,IC-EN-02097-01,,
488,IC-EN-02099-01,,
489,IC-EN-02102-01,,
490,IC-EN-02103-01,,
491,IC-EN-02104-01,,
492,IC-EN-02105-01,,
493,IC-EN-02106-01,,
494,IC-EN-02110-01,,
495,IC-EN-02111-01,,
496,IC-EN-02112-01,,
497,IC-EN-00991-01,,
498,IC-EN-00994-01,,
499,IC-EN-00995-01,,
500,IC-EN-00996-01,,
501,IC-EN-00999-01,,
502,IC-EN-01000-01,,
503,IC-EN-01002-01,,
504,IC-EN-01006-01,,
505,IC-EN-01010-01,,
506,IC-EN-01012-01,,
507,IC-EN-01014-01,,
508,IC-EN-01016-01,,
509,IC-EN-01017-01,,
510,IC-EN-01018-01,,
511,IC-EN-01019-01,,
512,IC-EN-01020-01,,
513,IC-EN-01025-01,,
514,IC-EN-01028-01,,
515,IC-EN-01030-01,,
516,IC-EN-01031-01,,
517,IC-EN-01034-01,,
518,IC-EN-01035-01,,
519,IC-EN-01036-01,,
520,IC-EN-01038-01,,
521,IC-EN-01043-01,,
522,IC-EN-01047-01,,
523,IC-EN-01049-01,,
524,IC-EN-01050-01,,
525,IC-EN-01051-01,,
526,IC-EN-01052-01,,
527,IC-EN-01054-01,,
528,IC-EN-01057-01,,
529,IC-EN-01058-01,,
530,IC-EN-01063-01,,
531,IC-EN-01065-01,,
532,IC-EN-01066-01,,
533,IC-EN-00829-01,,
534,IC-EN-00831-01,,
535,IC-EN-00836-01,,
536,IC-EN-00837-01,,
537,IC-EN-00838-01,,
538,IC-EN-00839-01,,
539,IC-EN-00841-01,,
540,IC-EN-00845-01,,
541,IC-EN-00846-01,,
542,IC-EN-00848-01,,
543,IC-EN-00849-01,,
544,IC-EN-00851-01,,
545,IC-EN-00853-01,,
546,IC-EN-00855-01,,
547,IC-EN-00857-01,,
548,IC-EN-00858-01,,
549,IC-EN-00859-01,,
550,IC-EN-00861-01,,
551,IC-EN-00862-01,,
552,IC-EN-00866-01,,
553,IC-EN-00868-01,,
554,IC-EN-00872-01,,
555,IC-EN-00875-01,,
556,IC-EN-00882-01,,
557,IC-EN-00884-01,,
558,IC-EN-00885-01,,
559,IC-EN-00887-01,,
560,IC-EN-00888-01,,
561,IC-EN-00889-01,,
562,IC-EN-00892-01,,
563,IC-EN-00893-01,,
564,IC-EN-00894-01,,
565,IC-EN-00895-01,,
566,IC-EN-00897-01,,
567,IC-EN-00900-01,,
568,IC-EN-00901-01,,
569,IC-EN-00902-01,,
570,IC-EN-00903-01,,
571,IC-EN-01402-01,,
572,IC-EN-01404-01,,
573,IC-EN-01408-01,,
574,IC-EN-01410-01,,
575,IC-EN-01411-01,,
576,IC-EN-01417-01,,
577,IC-EN-01420-01,,
578,IC-EN-01424-01,,
579,IC-EN-01425-01,,
580,IC-EN-01426-01,,
581,IC-EN-01427-01,,
582,IC-EN-01429-01,,
583,IC-EN-01431-01,,
584,IC-EN-01432-01,,
585,IC-EN-01434-01,,
586,IC-EN-01435-01,,
587,IC-EN-01437-01,,
588,IC-EN-01438-01,,
589,IC-EN-01441-01,,
590,IC-EN-01442-01,,
591,IC-EN-01446-01,,
592,IC-EN-01447-01,,
593,IC-EN-01449-01,,
594,IC-EN-01450-01,,
595,IC-EN-01451-01,,
596,IC-EN-01453-01,,
597,IC-EN-01455-01,,
598,IC-EN-01456-01,,
599,IC-EN-01459-01,,
600,IC-EN-01460-01,,
601,IC-EN-01462-01,,
602,IC-EN-01464-01,,
603,IC-EN-01467-01,,
604,IC-EN-01469-01,,
605,IC-EN-01470-01,,
606,IC-EN-01472-01,,
607,IC-EN-01473-01,,
608,IC-EN-01474-01,,
609,IC-EN-02445-01,,
610,IC-EN-02446-01,,
611,IC-EN-02447-01,,
612,IC-EN-02448-01,,
613,IC-EN-02453-01,,
614,IC-EN-02454-01,,
615,IC-EN-02455-01,,
616,IC-EN-02456-01,,
617,IC-EN-02460-01,,
618,IC-EN-02462-01,,
619,IC-EN-02463-01,,
620,IC-EN-02467-01,,
621,IC-EN-02469-01,,
622,IC-EN-02471-01,,
623,IC-EN-02473-01,,
624,IC-EN-02474-01,,
625,IC-EN-02477-01,,
626,IC-EN-02479-01,,
627,IC-EN-02480-01,,
628,IC-EN-02482-01,,
629,IC-EN-02483-01,,
630,IC-EN-02486-01,,
631,IC-EN-02490-01,,
632,IC-EN-02491-01,,
633,IC-EN-02493-01,,
634,IC-EN-02499-01,,
635,IC-EN-02501-01,,
636,IC-EN-02509-01,,
637,IC-EN-02514-01,,
638,IC-EN-02515-01,,
639,IC-EN-02516-01,,
640,IC-EN-02518-01,,
641,IC-EN-02519-01,,
642,IC-EN-02520-01,,
643,IC-EN-02521-01,,
644,IC-EN-02522-01,,
645,IC-EN-02523-01,,
646,IC-EN-02524-01,,
647,IC-EN-02527-01,,
648,IC-EN-02285-01,,
649,IC-EN-02286-01,,
650,IC-EN-02288-01,,
651,IC-EN-02293-01,,
652,IC-EN-02296-01,,
653,IC-EN-02297-01,,
654,IC-EN-02298-01,,
655,IC-EN-02301-01,,
656,IC-EN-02304-01,,
657,IC-EN-02310-01,,
658,IC-EN-02312-01,,
